priority_score,cluster_id,page_type,recommended_url,primary_keyword,cluster_volume,intent,brief_angle
8740,1,Comparison page,/alternatives/seo-report-template/,seo report template,8740,Comparison / competitor alternative,"Honest alternative page: best fit, pricing/workflow differences, white-label agency reporting angle, migration CTA."
740,2,Template page,/templates/social-media-report-template/,social media report template,740,Template / downloadable asset,"Free template + automated Oviond version; include KPI list, screenshots, setup steps, related connectors."
210,3,Core solution page,/solutions/marketing-kpi-dashboard/,marketing kpi dashboard,210,Reporting software category,"Category page for agencies: pain, use cases, feature proof, integrations, templates, FAQs, comparison links."
30,7,Core solution page,/solutions/hubspot-reporting-tool/,hubspot reporting tool,30,Reporting software category,"Category page for agencies: pain, use cases, feature proof, integrations, templates, FAQs, comparison links."
20,4,Connector/workflow page,/data-sources/woocommerce-to-google-sheets/,woocommerce to google sheets,20,Connector / destination workflow,"Show the source-to-report workflow, metrics available, automation, templates, and agency/client use cases."
20,5,Connector/workflow page,/data-sources/shopify-to-google-sheets/,shopify to google sheets,20,Connector / destination workflow,"Show the source-to-report workflow, metrics available, automation, templates, and agency/client use cases."
20,6,Core solution page,/solutions/shopify-reporting-tool/,shopify reporting tool,20,Reporting software category,"Category page for agencies: pain, use cases, feature proof, integrations, templates, FAQs, comparison links."
20,12,Core solution page,/solutions/amazon-ads-reporting-tool/,amazon ads reporting tool,20,Reporting software category,"Category page for agencies: pain, use cases, feature proof, integrations, templates, FAQs, comparison links."
10,8,Core solution page,/solutions/woocommerce-reporting-tool/,woocommerce reporting tool,10,Reporting software category,"Category page for agencies: pain, use cases, feature proof, integrations, templates, FAQs, comparison links."
10,9,Template page,/templates/hubspot-report-template/,hubspot report template,10,Template / downloadable asset,"Free template + automated Oviond version; include KPI list, screenshots, setup steps, related connectors."
10,10,Connector/workflow page,/data-sources/google-ads-to-google-sheets/,google ads to google sheets,10,Connector / destination workflow,"Show the source-to-report workflow, metrics available, automation, templates, and agency/client use cases."
10,11,AI solution page,/solutions/connect-shopify-to-chatgpt/,connect shopify to chatgpt,10,AI-assisted reporting,"AI-assisted agency reporting built on reliable connector truth, scheduled delivery, white-label outputs, and human-editable insights."
0,13,AI solution page,/solutions/mcp-marketing-reporting/,mcp marketing reporting,0,AI-assisted reporting,"AI-assisted agency reporting built on reliable connector truth, scheduled delivery, white-label outputs, and human-editable insights."
0,14,AI solution page,/solutions/connect-marketing-data-to-chatgpt/,connect marketing data to chatgpt,0,AI-assisted reporting,"AI-assisted agency reporting built on reliable connector truth, scheduled delivery, white-label outputs, and human-editable insights."
